ntp_time,throughput,durasi
1654263245.675345,123549.0,0.25586700439453125
1654263246.142784,73446.0,0.38176584243774414
1654263246.779614,123262.0,0.2384510040283203
1654263247.2563,177282.0,0.17052507400512695
1654263247.736018,200707.0,0.1578071117401123
1654263248.215872,188284.0,0.17255306243896484
1654263248.695687,187040.0,0.14696288108825684
1654263249.17542,189109.0,0.14768695831298828
1654263249.6549,183969.0,0.15380287170410156
1654263250.135292,213749.0,0.1317150592803955
1654263250.456333,235231.0,0.11932516098022461
1654263250.777337,242838.0,0.11512184143066406
1654263251.096329,185086.0,0.15129709243774414
1654263251.574083,220770.0,0.1263439655303955
1654263251.897714,219583.0,0.12755107879638672
1654263252.219416,160020.0,0.17474699020385742
1654263252.695047,224954.0,0.12426114082336426
1654263253.012725,230980.0,0.12113595008850098
1654263253.337485,208167.0,0.1340939998626709
1654263253.652871,230095.0,0.12166714668273926
1654263253.976468,220012.0,0.12694287300109863
1654263254.294984,196074.0,0.14290499687194824
1654263254.615959,234718.0,0.11948800086975098
1654263254.934599,225999.0,0.1235051155090332
1654263255.252223,209404.0,0.13384199142456055
1654263255.573442,207601.0,0.13479208946228027
1654263255.892466,156946.0,0.1782209873199463
1654263256.376207,161151.0,0.17389297485351562
1654263256.855621,138545.0,0.20209383964538574
1654263257.330615,181304.0,0.1545250415802002
1654263257.810668,186163.0,0.15052390098571777
1654263258.130536,226996.0,0.12326192855834961
1654263258.449981,193787.0,0.14445209503173828
1654263258.943158,204020.0,0.13714313507080078
1654263259.409806,204118.0,0.13672494888305664
1654263259.730436,239965.0,0.11629199981689453
1654263260.049305,175215.0,0.15955209732055664
1654263260.52904,169302.0,0.16481781005859375
1654263261.011031,162247.0,0.17189812660217285
1654263261.488631,229557.0,0.12181305885314941
1654263261.808263,183607.0,0.15218901634216309
1654263262.290112,212687.0,0.13120698928833008
1654263262.608153,192625.0,0.14478397369384766
1654263263.087632,203305.0,0.13746309280395508
1654263263.407248,159619.0,0.17423391342163086
1654263263.887418,193885.0,0.1439979076385498
1654263264.208382,226533.0,0.12341713905334473
1654263264.527064,205446.0,0.13594794273376465
1654263264.84671,183723.0,0.15230512619018555
1654263265.326197,201739.0,0.13822317123413086
1654263265.647118,216927.0,0.1285088062286377
1654263265.967783,224374.0,0.12406492233276367
1654263266.310901,117589.0,0.2368330955505371
1654263266.765479,196371.0,0.14200186729431152
1654263267.085385,240314.0,0.1162729263305664
1654263267.40546,229644.0,0.12151408195495605
1654263267.728198,193505.0,0.1440739631652832
1654263268.208028,256032.0,0.10900187492370605
1654263268.525476,151745.0,0.18411803245544434
1654263269.005917,201841.0,0.13837599754333496
1654263269.326952,191416.0,0.14568805694580078
1654263269.803871,222804.0,0.12557697296142578
1654263270.126105,200844.0,0.13908791542053223
1654263270.44794,199365.0,0.14020490646362305
1654263270.764837,232771.0,0.1199030876159668
1654263271.084683,186620.0,0.14953899383544922
1654263271.565484,153205.0,0.18220090866088867
1654263272.042817,239459.0,0.1162409782409668
1654263272.363555,227730.0,0.12170100212097168
1654263272.686476,158280.0,0.17598509788513184
1654263273.161935,158355.0,0.1756749153137207
1654263273.641833,192254.0,0.14474081993103027
1654263273.961816,181455.0,0.15372991561889648
1654263274.444798,182127.0,0.1529979705810547
1654263274.92675,188812.0,0.1475541591644287
1654263275.40308,153320.0,0.18137192726135254
1654263275.884722,194416.0,0.14318299293518066
1654263276.200107,222454.0,0.12490200996398926
1654263276.519939,187445.0,0.14848613739013672
1654263277.003627,132590.0,0.20794200897216797
1654263277.480194,183601.0,0.15146398544311523
1654263277.959632,185668.0,0.14975619316101074
1654263278.44481,154416.0,0.1801760196685791
1654263278.921806,178673.0,0.1556699275970459
1654263279.40219,219761.0,0.1264510154724121
1654263279.718604,167928.0,0.16608285903930664
1654263280.203333,169444.0,0.16380000114440918
1654263280.677501,235748.0,0.11780810356140137
1654263280.997584,89557.0,0.31067395210266113
1654263281.639909,194688.0,0.14258193969726562
1654263282.116831,200553.0,0.13875603675842285
1654263282.439655,212521.0,0.13120603561401367
1654263282.764618,204183.0,0.1367790699005127
1654263283.236131,200424.0,0.138685941696167
1654263283.555404,243169.0,0.11459112167358398
1654263283.877714,217783.0,0.12799906730651855
1654263284.197401,219370.0,0.1268448829650879
1654263284.518297,198990.0,0.13996195793151855
1654263284.840397,179562.0,0.15491008758544922
1654263285.319127,200702.0,0.13843894004821777
1654263285.641324,165074.0,0.16759800910949707
1654263286.114094,202285.0,0.1377859115600586
1654263286.44245,191178.0,0.14606285095214844
1654263286.917381,227318.0,0.12244105339050293
1654263287.234237,177171.0,0.15695595741271973
1654263287.715092,166799.0,0.1670091152191162
1654263288.193541,183822.0,0.15114593505859375
1654263288.678319,127016.0,0.2187039852142334
1654263289.15366,148458.0,0.1877899169921875
1654263289.634046,162984.0,0.17112088203430176
1654263290.116303,172834.0,0.16065692901611328
1654263290.592676,177445.0,0.1569840908050537
1654263291.072095,179300.0,0.15493011474609375
1654263291.565738,170705.0,0.16274309158325195
1654263292.033079,223666.0,0.1240241527557373
1654263292.352352,163126.0,0.17025518417358398
1654263292.832236,201934.0,0.13788199424743652
1654263293.151513,173941.0,0.16019797325134277
1654263293.631236,252815.0,0.10988688468933105
1654263293.950357,154243.0,0.18050694465637207
1654263294.44595,164038.0,0.16974687576293945
1654263294.911698,158745.0,0.17511701583862305
1654263295.392866,138798.0,0.20135807991027832
1654263295.879319,71251.0,0.39359402656555176
1654263296.518121,185271.0,0.15019607543945312
1654263296.994387,168785.0,0.16499710083007812
1654263297.469687,214648.0,0.12978911399841309
1654263297.790655,129520.0,0.2157890796661377
1654263298.268087,151818.0,0.18366098403930664
1654263298.749766,196401.0,0.14217877388000488
1654263299.227468,219251.0,0.12727904319763184
1654263299.554174,200357.0,0.1394209861755371
