,Unnamed: 0,Unnamed: 1,input_len,lstm_layer,lstm_unit,init_state,init_func,td_dense_layer,td_dense_unit,dense_layer,dense_unit,dense_output,outlier_feature,outlier_output,arch,batch_size,epochs,loss,lr,optimizer,train_val,train_time_ns,mse,eval_mse,pred_time,pred_time_once,eval_mse_descale
16,,,30.0,1.0,30.0,False,none,1.0,5.0,1.0,5.0,5.0,False,False,LSTM,32.0,40.0,mse,0.2,adam,0.5,44848812600.0,0.0403355807065963,0.0037563228979706,878119300.0,899712.3975409836,747674273.1202687
16,,,30.0,1.0,30.0,False,none,1.0,5.0,1.0,5.0,1.0,False,False,LSTM,32.0,40.0,mse,0.2,adam,0.5,74918187700.0,0.03839767724275589,0.0024282371159642935,849542500.0,866880.1020408163,483326426.15781844
