,loss,val_loss
0,12802977792.0,26560755712.0
1,12802913280.0,26560659456.0
2,12802832384.0,26560516096.0
3,12802696192.0,26560288768.0
4,12802469888.0,26559856640.0
5,12802118656.0,26559348736.0
6,12801692672.0,26558674944.0
7,12801127424.0,26557788160.0
8,12800396288.0,26556680192.0
9,12799498240.0,26555332608.0
